E0001,P0001,PAQ25,25,0.83,1
E0002,P0002,PAQ50,50,0.88,1
E0003,P0003,PAQ25,25,0.97,1
E0004,P0004,PAQ10,10,0.85,1
E0005,P0005,PAQ20,20,0.96,1
E0006,P0006,CAJA48,48,0.86,1
E0007,P0007,PAQ25,25,0.96,1
E0008,P0008,CAJA100,100,0.88,1
E0009,P0009,CAJA12,12,0.86,1
E0010,P0001,PAQ20,20,0.95,1
E0011,P0001,CAJA48,48,0.85,0
E0012,P0002,CAJA24,24,0.84,1
E0013,P0003,CAJA12,12,0.83,1
E0014,P0004,PAQ25,25,0.84,1
E0015,P0005,PAQ50,50,0.94,1
E0016,P0006,CAJA12,12,0.94,1
E0017,P0007,CAJA100,100,0.96,1
E0018,P0018,PAQ50,50,0.95,1
E0019,P0019,CAJA100,100,0.92,1
E0020,P0020,CAJA24,24,0.95,1
E0021,P0021,CAJA12,12,0.88,1
E0022,P0022,PAQ20,20,0.82,1
E0023,P0023,CAJA48,48,0.95,1
E0024,P0024,CAJA48,48,0.92,1
E0025,P0025,PAQ20,20,0.89,1
E0026,P0026,PAQ20,20,0.85,1
E0027,P0027,CAJA12,12,0.84,1
E0028,P0028,PAQ50,50,0.92,1
E0029,P0029,CAJA24,24,0.87,1
E0030,P0030,PAQ25,25,0.89,1
E0031,P0031,CAJA100,100,0.90,1
E0032,P0032,CAJA48,48,0.88,1
E0033,P0033,PAQ10,10,0.92,1
E0034,P0034,PAQ50,50,0.86,1
E0035,P0035,PAQ25,25,0.85,1
E0036,P0036,PAQ50,50,0.85,1
E0037,P0037,PAQ20,20,0.91,1
E0038,P0038,PAQ20,20,0.86,1
E0039,P0039,PAQ20,20,0.89,1
E0040,P0040,PAQ50,50,0.83,1
E0041,P0041,CAJA100,100,0.89,1
E0042,P0002,PAQ50,50,0.86,1
E0043,P0043,PAQ20,20,0.84,1
E0044,P0044,PAQ10,10,0.85,1
E0045,P0045,PAQ50,50,0.94,1
E0046,P0046,PAQ20,20,0.87,1
E0047,P0047,CAJA48,48,0.95,1
E0048,P0048,PAQ25,25,0.87,1
E0049,P0049,PAQ20,20,0.86,1
E0050,P0050,PAQ10,10,0.96,1
E0051,P0051,CAJA24,24,0.82,1
E0052,P0052,PAQ20,20,0.91,1
E0053,P0053,CAJA12,12,0.92,1
E0054,P0054,PAQ50,50,0.97,1
E0055,P0055,PAQ25,25,0.94,1
E0056,P0056,PAQ25,25,0.83,1
E0057,P0057,PAQ50,50,0.82,1
E0058,P0058,CAJA100,100,0.88,1
E0059,P0059,CAJA100,100,0.84,1
E0060,P0060,PAQ50,50,0.83,1
E0061,P0001,PAQ50,50,0.95,0
E0062,P0002,PAQ20,20,0.91,1
E0063,P0063,PAQ20,20,0.93,1
E0064,P0064,CAJA12,12,0.97,1
E0065,P0065,CAJA12,12,0.92,1
E0066,P0066,CAJA48,48,0.88,1
E0067,P0066,CAJA100,100,0.84,1
E0068,P0068,PAQ20,20,0.86,1
E0069,P0069,CAJA24,24,0.90,1
E0070,P0070,CAJA48,48,0.92,1
E0071,P0071,CAJA12,12,0.88,1
E0072,P0072,PAQ50,50,0.94,1
E0073,P0073,PAQ25,25,0.86,1
E0074,P0074,CAJA48,48,0.93,1
E0075,P0075,CAJA100,100,0.93,1
E0076,P0076,CAJA100,100,0.96,1
E0077,P0077,CAJA100,100,0.91,1
E0078,P0078,PAQ20,20,0.93,1
E0079,P0079,CAJA24,24,0.86,1
E0080,P0080,PAQ50,50,0.87,1
E0081,P0081,CAJA100,100,0.97,1
E0082,P0082,PAQ25,25,0.95,1
E0083,P0002,CAJA48,48,0.84,0
E0084,P0084,PAQ50,50,0.88,1
E0085,P0085,PAQ20,20,0.92,1
E0086,P0086,PAQ25,25,0.87,1
E0087,P0087,CAJA100,100,0.88,1
E0088,P0088,PAQ50,50,0.90,1
E0089,P0089,CAJA24,24,0.86,1
E0090,P0090,CAJA100,100,0.95,1
E0091,P0091,CAJA24,24,0.95,1
E0092,P0092,CAJA24,24,0.96,1
E0093,P0093,PAQ20,20,0.89,1
E0094,P0094,PAQ50,50,0.87,1
E0095,P0095,CAJA12,12,0.88,1
E0096,P0096,PAQ25,25,0.96,1
E0097,P0096,PAQ25,25,0.90,1
E0098,P0098,PAQ20,20,0.83,1
E0099,P0099,PAQ50,50,0.95,1
E0100,P0100,CAJA24,24,0.86,1
E0101,P0101,PAQ50,50,0.93,0
E0102,P0102,PAQ20,20,0.89,1
E0103,P0103,CAJA100,100,0.88,1
E0104,P0104,CAJA24,24,0.88,1
E0105,P0105,CAJA100,100,0.83,1
E0106,P0106,CAJA48,48,0.88,1
E0107,P0107,CAJA24,24,0.87,1
E0108,P0108,PAQ20,20,0.84,1
E0109,P0109,PAQ10,10,0.90,1
E0110,P0110,CAJA24,24,0.90,1
E0111,P0111,PAQ50,50,0.82,1
E0112,P0112,PAQ10,10,0.91,1
E0113,P0113,CAJA24,24,0.94,1
E0114,P0114,CAJA12,12,0.96,1
E0115,P0115,CAJA24,24,0.90,1
E0116,P0116,PAQ50,50,0.92,1
E0117,P0117,CAJA12,12,0.86,1
E0118,P0118,PAQ25,25,0.90,1
E0119,P0119,PAQ20,20,0.88,1
E0120,P0120,PAQ20,20,0.83,1
E0121,P0121,PAQ10,10,0.96,1
E0122,P0002,CAJA24,24,0.84,1
E0123,P0123,CAJA100,100,0.83,1
E0124,P0124,PAQ25,25,0.90,1
E0125,P0125,CAJA100,100,0.86,1
E0126,P0126,CAJA12,12,0.95,1
E0127,P0127,PAQ10,10,0.88,1
E0128,P0128,CAJA24,24,0.87,1
E0129,P0129,CAJA100,100,0.96,1
E0130,P0130,CAJA48,48,0.92,1
E0131,P0131,CAJA12,12,0.85,1
E0132,P0132,PAQ50,50,0.84,1
E0133,P0133,CAJA24,24,0.83,1
E0134,P0134,CAJA24,24,0.91,1
E0135,P0135,CAJA48,48,0.95,1
E0136,P0136,CAJA24,24,0.88,1
E0137,P0137,PAQ20,20,0.86,1
E0138,P0138,CAJA12,12,0.94,1
E0139,P0139,CAJA100,100,0.96,1
E0140,P0140,PAQ50,50,0.97,1
E0141,P0141,PAQ50,50,0.86,1
E0142,P0142,PAQ50,50,0.85,1
E0143,P0143,CAJA12,12,0.83,1
E0144,P0144,PAQ50,50,0.95,1
E0145,P0145,PAQ10,10,0.94,1
E0146,P0146,CAJA12,12,0.94,1
E0147,P0147,CAJA12,12,0.84,1
E0148,P0148,CAJA12,12,0.90,1
E0149,P0149,PAQ20,20,0.92,1
E0150,P0150,CAJA12,12,0.96,1
E0151,P0151,CAJA24,24,0.84,1
E0152,P0152,PAQ20,20,0.93,1
E0153,P0153,PAQ10,10,0.94,1
E0154,P0154,CAJA48,48,0.87,1
E0155,P0155,CAJA48,48,0.89,1
E0156,P0156,CAJA48,48,0.97,1
E0157,P0157,CAJA24,24,0.94,1
E0158,P0158,PAQ20,20,0.93,1
E0159,P0159,PAQ20,20,0.82,1
E0160,P0160,CAJA24,24,0.94,1
E0161,P0161,CAJA100,100,0.86,1
E0162,P0162,PAQ50,50,0.86,1
E0163,P0163,PAQ50,50,0.83,1
E0164,P0164,PAQ50,50,0.83,1
E0165,P0165,PAQ25,25,0.82,1
E0166,P0166,CAJA12,12,0.85,1
E0167,P0167,PAQ50,50,0.89,1
E0168,P0168,PAQ20,20,0.91,1
E0169,P0169,PAQ50,50,0.95,1
E0170,P0170,CAJA48,48,0.93,1
E0171,P0171,PAQ10,10,0.90,1
E0172,P0172,CAJA100,100,0.97,1
E0173,P0173,PAQ25,25,0.84,1
E0174,P0174,CAJA100,100,0.88,1
E0175,P0175,PAQ10,10,0.85,1
E0176,P0176,PAQ50,50,0.92,1
E0177,P0177,CAJA48,48,0.88,1
E0178,P0178,PAQ50,50,0.85,1
E0179,P0179,PAQ20,20,0.83,1
E0180,P0180,PAQ20,20,0.96,1
E0181,P0181,PAQ10,10,0.93,1
E0182,P0182,CAJA24,24,0.92,1
E0183,P0183,PAQ50,50,0.97,1
E0184,P0184,CAJA100,100,0.96,1
E0185,P0185,CAJA12,12,0.84,1
E0186,P0186,CAJA12,12,0.88,1
E0187,P0187,CAJA100,100,0.93,1
E0188,P0188,CAJA24,24,0.94,1
E0189,P0189,CAJA48,48,0.94,1
E0190,P0190,CAJA12,12,0.83,1
E0191,P0191,PAQ10,10,0.86,1
E0192,P0192,PAQ25,25,0.95,1
E0193,P0193,CAJA24,24,0.86,1
E0194,P0194,PAQ50,50,0.87,1
E0195,P0195,CAJA24,24,0.87,1
E0196,P0196,PAQ25,25,0.95,1
E0197,P0197,CAJA100,100,0.89,1
E0198,P0198,CAJA100,100,0.83,1
E0199,P0199,PAQ50,50,0.92,1
E0200,P0200,CAJA100,100,0.89,0
